Title,UrlName,Summary,Language,IsVisibleInPkb,IsVisibleInCsp,IsVisibleInPrm
"Understanding Your Invoice","understanding-your-invoice","<p>Every Nimbus Workspace invoice lists your plan name, billing period, seat count, any add-ons, applicable tax, and the total charged to your payment method on file. Paid plans are billed in advance — monthly plans on the same calendar day each month, annual plans on your subscription anniversary. Line items separate the base subscription cost from add-ons like extra storage or premium integrations, and from any prorated charges caused by mid-cycle seat changes. View or download any invoice from Billing Settings > Invoice History; invoices are also emailed to your billing contact the day they're generated.</p>","en_US","TRUE","TRUE","FALSE"
"How Proration Works When You Change Plans","how-proration-works-when-you-change-plans","<p>When you upgrade or downgrade between Team, Business, and Enterprise mid-cycle, Nimbus Workspace calculates a prorated charge or credit based on the days remaining in your current billing period. Upgrades take effect immediately and the prorated difference is charged right away. Downgrades take effect at the start of your next billing cycle, so you keep current-plan features until then — no partial-period credit is issued for a downgrade. Adding or removing seats mid-cycle follows the same per-seat, per-remaining-day proration logic.</p>","en_US","TRUE","TRUE","FALSE"
"Accepted Payment Methods","accepted-payment-methods","<p>Nimbus Workspace accepts Visa, Mastercard, American Express, and Discover for all self-serve Team and Business plans, charged automatically each billing cycle. Enterprise customers on an annual contract can pay by ACH bank transfer or against a Purchase Order invoice, arranged through your account executive. PayPal, wire transfer for self-serve plans, and cryptocurrency are not supported. Only one payment method can be on file per workspace at a time; adding a new card replaces the previous one for future charges.</p>","en_US","TRUE","TRUE","FALSE"
"Updating Your Credit Card on File","updating-your-credit-card-on-file","<p>To update the card charged for your subscription:</p><ol><li>Go to Billing Settings from your workspace admin console.</li><li>Select Payment Method, then Edit.</li><li>Enter the new card number, expiration date, and billing zip code.</li><li>Click Save — the new card is validated with a $0 authorization check.</li><li>Your next scheduled charge, and any future renewals, will use the new card automatically.</li></ol><p>Past invoices are not affected by a payment method change.</p>","en_US","TRUE","TRUE","FALSE"
"Why Was I Charged Twice This Month?","why-was-i-charged-twice-this-month","<p>A duplicate-looking charge is almost always one of three things: a prorated upgrade charge appearing alongside your regular renewal, a failed payment retry that succeeded on a second attempt (the first attempt should show as declined, not charged), or an add-on purchase (extra storage, a premium integration) billed separately from the base subscription. Check Billing Settings > Invoice History — each charge maps to a specific invoice with a line-item breakdown. If two invoices genuinely charge the same line item for the same period, contact Billing Support with both invoice numbers for a refund.</p>","en_US","TRUE","TRUE","FALSE"
"Plan Comparison & Switching","plan-comparison-and-switching","<p>Nimbus Workspace offers four plans: Free (up to 5 users, 2GB storage), Team ($12/user/month, 50GB pooled storage, automations), Business ($24/user/month, 250GB pooled storage, SSO, advanced reporting), and Enterprise (custom pricing, unlimited storage, SCIM provisioning, dedicated support). To switch plans:</p><ol><li>Go to Billing Settings > Plan.</li><li>Select Compare Plans to see the full feature matrix.</li><li>Choose the target plan and click Change Plan.</li><li>Review the prorated charge or credit shown before confirming.</li><li>Confirm — the change applies immediately for upgrades, or at next renewal for downgrades.</li></ol>","en_US","TRUE","TRUE","FALSE"
"Downgrading Your Subscription","downgrading-your-subscription","<p>Downgrades to a lower plan tier take effect at the start of your next billing cycle, not immediately — you keep full access to your current plan's features until then. To downgrade:</p><ol><li>Go to Billing Settings > Plan > Change Plan.</li><li>Select the lower-tier plan.</li><li>Review the feature-loss warning (e.g., SSO, advanced reporting are Business/Enterprise-only).</li><li>Confirm the scheduled downgrade.</li><li>You'll receive a confirmation email with the effective date; you can cancel the scheduled downgrade any time before then.</li></ol>","en_US","TRUE","TRUE","FALSE"
"How Seat-Based Billing Works","how-seat-based-billing-works","<p>Team and Business plans bill per active user seat. A seat is consumed by any user with Owner, Admin, or Member access; Guest users (view/comment-only on shared projects) do not consume a seat. Your invoice reflects the highest seat count reached during the billing period for monthly plans, or the seat count at contract signing (with a true-up at renewal) for annual and Enterprise plans. Deactivating a user frees their seat for reassignment immediately, but does not generate a mid-cycle refund for that seat.</p>","en_US","TRUE","TRUE","FALSE"
"Adding or Removing Seats Mid-Cycle","adding-or-removing-seats-mid-cycle","<p>Adding a seat mid-cycle bills a prorated amount for the remaining days in the current period, charged on your next invoice. Removing a seat (by deactivating a user) frees the seat for reassignment immediately but does not issue a prorated credit — the seat count for billing purposes is based on peak usage during the period on monthly plans. Annual and Enterprise contracts true-up seat counts at renewal rather than mid-term, so removing a seat mid-contract reduces cost only at the next renewal.</p>","en_US","TRUE","TRUE","FALSE"
"Annual vs. Monthly Billing Cycles","annual-vs-monthly-billing-cycles","<p>Monthly billing charges your card every 30 days at standard per-seat rates. Annual billing charges once per year, up front, at a discounted rate (typically a 15–20% savings versus twelve monthly payments), and is required for Enterprise contracts. You can switch from monthly to annual at any time from Billing Settings — the switch takes effect at your next renewal date and locks in the annual rate. Switching from annual to monthly is only available at the end of your current annual term.</p>","en_US","TRUE","TRUE","FALSE"
"Requesting a Refund","requesting-a-refund","<p>Annual plan subscribers can request a prorated refund for unused months within 30 days of the renewal charge by contacting Billing Support with their invoice number. Monthly plan charges are non-refundable once processed, but you can cancel at any time to prevent future charges — your access continues through the end of the paid period. Add-on purchases (extra storage, premium integrations) follow the same 30-day annual / non-refundable monthly policy as the base subscription. Approved refunds are returned to the original payment method within 5–7 business days.</p>","en_US","TRUE","TRUE","FALSE"
"Understanding Your Free Trial Period","understanding-your-free-trial-period","<p>New Business and Enterprise plan signups include a 14-day free trial with full feature access and no credit card required to start. A trial banner shows the number of days remaining in your workspace. You can invite teammates, connect integrations, and import data during the trial exactly as on a paid plan — nothing is limited except the trial's duration. Adding a payment method at any point during the trial converts it to a paid subscription immediately and stops the trial countdown.</p>","en_US","TRUE","TRUE","FALSE"
