Title,UrlName,Summary,Language,IsVisibleInPkb,IsVisibleInCsp,IsVisibleInPrm
"Requesting a Workplace Accommodation","requesting-a-workplace-accommodation","<p>Any Everline employee can request a workplace accommodation at any time, whether the need is physical, sensory, cognitive, or related to a medical condition.</p><ol><li>Submit a request through the Accommodations portal or ask AdaptAbility to connect you with a People Success specialist.</li><li>A specialist reaches out within 2 business days to start the interactive process.</li><li>Together you identify one or more reasonable accommodations that address the need.</li><li>Approved accommodations are implemented, and you're notified when equipment or changes are in place.</li></ol><p>You do not need a diagnosis to start the conversation — describing the functional limitation is enough to begin.</p>","en_US","TRUE","FALSE","FALSE"
"Ergonomic Equipment Available at Everline","ergonomic-equipment-available-at-everline","<p>Everline provides standing desks, ergonomic chairs, split and vertical keyboards, and monitor arms to any employee who requests them for comfort or medical reasons — no manager approval is required for standard ergonomic equipment. Requests are submitted through the Accommodations portal and typically ship within 5-7 business days. Employees working from an Everline office can also book a walkthrough with a workplace ergonomics specialist before choosing equipment.</p>","en_US","TRUE","FALSE","FALSE"
"Getting Noise-Cancelling Headphones","getting-noise-cancelling-headphones","<p>Noise-cancelling headphones are pre-approved equipment at Everline — any employee, with or without a stated medical reason, can request a pair through the Accommodations portal without going through the interactive process. This is one of the few accommodations that ships automatically without a specialist conversation, since it has no meaningful cost or workspace impact for coworkers.</p>","en_US","TRUE","FALSE","FALSE"
"Screen Reader and Assistive Software Setup","screen-reader-and-assistive-software-setup","<p>Everline-issued laptops come with JAWS, NVDA, or VoiceOver available for installation through the internal Software Center at no additional approval step. IT can pre-configure a new laptop with your preferred screen reader before it ships if you let the Accommodations team know in advance. If a specific work application doesn't behave correctly with your screen reader, report it as a troubleshooting case rather than a new accommodation request — screen reader compatibility issues in existing tools are handled as bugs, not new requests.</p>","en_US","TRUE","FALSE","FALSE"
"Requesting a Sit-Stand Desk","requesting-a-sit-stand-desk","<p>Sit-stand desks are available to any employee working from an Everline office or on a home-office stipend, whether for a documented medical need or general preference. Requests submitted through the Accommodations portal are fulfilled within 5-7 business days for office locations; home-office requests are reimbursed against the standard equipment stipend rather than shipped directly.</p>","en_US","TRUE","FALSE","FALSE"
"Alternative Input Devices","alternative-input-devices","<p>Trackballs, foot pedals, single-switch devices, and voice-control software (such as Dragon NaturallySpeaking) are all available as accommodations for employees who need an alternative to a standard mouse and keyboard. These typically go through a brief interactive-process conversation with a People Success specialist to confirm the right device for your specific need, since there's more than one option and getting it right the first time avoids a return.</p>","en_US","TRUE","FALSE","FALSE"
"Booking a Quiet or Focus Room","booking-a-quiet-or-focus-room","<p>Every Everline office has at least one quiet room bookable through the same calendar system used for meeting rooms, intended for employees who need a low-sensory environment to focus or decompress. Quiet rooms are first-come, first-served for anyone, but employees with an approved sensory accommodation can request a standing reservation for the same time each day.</p>","en_US","TRUE","FALSE","FALSE"
"How Long Does an Accommodation Request Take?","how-long-does-an-accommodation-request-take","<p>Most equipment-only accommodations (ergonomic gear, headphones, screen readers) ship within 5-7 business days of the request. Accommodations requiring the interactive process — a schedule change, a role modification, or anything needing a specialist conversation — typically resolve within 2-3 weeks from first contact, though this varies with complexity. If a request is time-sensitive (a safety concern or a near-term deadline), say so explicitly when you submit it so it can be prioritized.</p>","en_US","TRUE","FALSE","FALSE"
"Temporary vs. Permanent Accommodations","temporary-vs-permanent-accommodations","<p>Accommodations can be requested as temporary (for example, during recovery from a surgery or a short-term injury) or permanent. Temporary accommodations are reviewed at an agreed end date rather than requiring a brand-new request, and can be extended if the underlying need continues. Permanent accommodations are reviewed periodically (typically annually) simply to confirm they still meet your needs, not to re-justify the original request.</p>","en_US","TRUE","FALSE","FALSE"
"Accommodations for Vision or Hearing Needs","accommodations-for-vision-or-hearing-needs","<p>Employees who are blind, have low vision, are Deaf, or are hard of hearing can request screen magnification software, screen readers, captioning services for live meetings, ASL interpretation for scheduled meetings, or amplified/visual alert devices. Live-meeting captioning and interpretation should be requested at least 48 hours in advance through the Accommodations portal so a vendor can be scheduled.</p>","en_US","TRUE","FALSE","FALSE"
